,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Acquired Immunodeficiency Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5188736439991666,3.5885824961806085e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2804227372246085e-200,0.0,0.0,2.958157916587374e-22,0.0,0.0,0.0,0.3218662678379908,0.0,0.0,5.232491864626383e-45,1.4878800816191256e-33,4.448225626609535e-52,0.0,5.4976907075189794e-101,0.0,0.0,1.566270381249985e-217,9.248287195215621e-110,0.0,0.0,0.0,0.0,0.04799290534843403,0.0,0.0,0.0,0.0,0.0,0.0,1.9358844089728262e-05,2.5551852392904606e-34,0.004822732525615519,0.0,7.324876189335496e-26,0.0,1.9567511297699844e-170,0.0
Neoplasms,0.49567322934377994,0.05630704481167558,0.0002733055675384885,0.0008050671331125374,0.005969457660401815,0.0,0.0017071440490422523,0.031171701712002602,2.2100751901733085e-23,0.0,0.0,0.04467025519141164,0.0,0.002720097801872257,0.1018389180666176,0.0,0.030662311186774815,0.24154567866517548,0.44862142746185607,0.03735007882682893,5.238127761670653e-06,0.0001635687549943473,0.10044424008797534,0.0,0.00023123099250346472,0.08755233811851003,0.06576185776670836,2.1405442564272938e-05,0.04648206378037061,1.5631570749132355,0.09150254078204675,0.05898201324480958,0.0032160789969680648,9.324958493793391e-06,0.3948368724438209,0.0,0.0013635264638668836,0.07486090005925021,1.2510092484923916,0.0,0.2947390459050357,0.007384275027706562,0.0,0.0761679605642862,0.10902117897045702,0.0002774378034989959,0.04958095513710133,9.033724853488347e-06,0.001345051856756062,0.3545985219132231,0.0008043014513946563,0.0,0.0,0.007179446506663587,0.0017860524987448534,0.07118712465223843,0.1142120383587199,0.0027113680804552497,0.4066003689388286,0.025506919811745094,0.25782293394498657,0.20950304497789485,0.011279845849800189,0.103326042916927
Cardiomegaly,9.800108486486563e-40,6.518020296329666e-230,2.549310050396445e-227,1.083770410330501e-213,3.978081678168187e-225,0.0,0.0,0.0,0.0,0.022248837369107828,0.0,7.23660696861837e-192,0.0,0.003518608955830857,0.05435971726867712,0.0,1.098807026056122e-76,0.0,5.929498961543213e-149,1.161832489124045e-71,0.0,3.406932748594734e-149,1.9617699290133433e-305,0.0,3.153420403654821e-57,4.8714843875360204e-139,1.0886231958262121e-23,2.6548425269761385e-50,0.0,5.434198781018116e-09,3.2214375534852735e-36,9.750737377415743e-38,5.13163955189043e-289,0.0,1.7487463544313706e-100,0.0,1.33734624527067e-17,2.2732287237372414e-08,2.5511980454850678e-52,0.0,1.4099521796999425e-28,0.0,0.0,0.1725080288640646,1.4056032650209317e-54,5.015680653632062e-142,1.3864436647403266e-213,0.0,7.709508367562076e-09,0.6950956660679397,4.4920710487651914e-98,0.0,0.0,1.2556453061158606e-46,9.670561830721422e-63,0.0,0.027788176755360137,2.3620110107626295e-33,0.23078012341933032,0.011520758862476966,1.578745645504575e-07,5.253526987048736e-05,1.7656314421924423e-06,4.228471679621115e-42
Stomach Neoplasms,0.47864116938267154,0.06674251623344568,0.050010966910142736,0.00048725864781217333,0.02556540457629067,0.0,0.03749043273028516,0.04834232257112093,0.00012335608899126873,0.03689307248347726,0.0,0.002593765752717611,0.0,0.10098959703639333,0.0633356800971382,0.0,0.0061338296531933565,0.06035815128690725,0.31490661019157523,0.03343220569910983,0.0009604912726384368,0.24749140359173508,0.2300300459332742,0.0,0.0038189899655881204,0.17017595636549576,0.20316800034486843,3.172179571506439e-06,0.05211016155261839,0.0016330766929586568,0.18341313797097922,0.11392359119990904,0.007904877070627987,0.0002477679702935586,0.0139354394471249,0.0,0.5851621424471113,1.2964547446257941,0.24909331768205015,0.0,0.03821876648283932,0.0375225835176618,0.0,0.04099506932535689,0.2344178189607502,0.36331653937683933,0.07857951508134593,0.0010278565983952244,0.013448440542647001,0.3855815265516572,0.20293838507118903,0.0,0.0,0.00632889770552361,0.4704390447965124,0.04411227016001471,0.1911084596134528,0.788823860886281,0.3038751959231899,0.034372655978638554,0.4890765940805228,0.10532017108741466,0.0,0.07719067526271298
Multiple Sclerosis,5.3004813070248536e-09,0.0,1.9664335277315297e-60,1.1687785229643205e-23,8.300176722190555e-226,0.0,4.404449842107042e-22,4.2427506613003934e-07,1.4260360871008463e-05,0.0,0.0,6.270524232118028e-61,0.0,0.0007663177526153781,0.00075211537708357,0.0,2.4813041659253147e-72,4.777677625686842e-08,1.5839030301219382e-207,8.103701394781109e-17,0.0,8.88879046561979e-39,1.1519256141410657e-112,0.0,5.331703163194685e-156,2.71248148155566e-18,1.1527496359881758e-30,0.0,3.640529071126403e-201,5.857735497892482e-17,4.747200947774157e-25,7.728524897551845e-68,1.593465749103458e-17,3.345447278287685e-11,1.2050915206831196e-33,0.0,1.8549612995580225e-07,1.2274795612535679e-11,1.1581649745532355e-25,0.0,5.345540711864588e-13,7.307963117857761e-199,0.0,0.2527192742712309,2.512231343867293e-07,5.7540560362424015e-12,0.015838921334022656,2.7736406348742396e-27,2.8878006679733622e-30,0.007015676979107663,9.921632100281396e-28,0.0,0.0,3.9874721993491826e-13,5.095749940321545e-240,9.56757659550373e-260,1.408889619902934,1.4890033217514145e-19,0.11361561844533526,1.1636980268177201e-07,3.067399110955621e-11,3.786559457277211e-39,3.0760911381083984e-15,6.664831247223641e-08
Glioma,1.2962519098315164,0.022953865561581074,0.20085802633306418,0.003332007499146311,0.039018933479170785,0.0,0.0011578013253052994,0.005273771927739031,0.00030359698667268897,0.03567268449086908,0.0,0.016791422740276174,0.0,0.001881692584338015,0.1554911910389694,0.0,0.01477817535814018,0.024770180104016996,0.05332275395829657,0.06444887365338076,0.0001760699139827617,0.009297856330163147,0.010111653040085995,0.0,0.015724874423140443,0.003392347115568748,0.0006199420769813222,0.0006533070612353805,0.05496590587993911,0.0001981829089638742,0.07835907564559691,0.2159077515848987,0.003319318061774018,4.133347739592928e-06,0.02080758218498171,0.0,0.0037968222648554297,0.011392857249112872,0.0005168146450860949,0.0,0.0276825199593421,0.12076122075852652,0.0,0.014802543268177565,0.328478746077201,0.01563953299744179,0.12998701792478337,1.264352058519595,0.335149148832003,0.1507776706143283,0.32962965261935695,0.0,0.0,0.0013044150705436648,0.2833568815164208,0.052382745290111624,0.039487407029069964,0.0003971954541970922,7.153076867473469e-07,0.09268289519319313,0.0,0.020589549884376664,0.1842093940695298,0.027129076676296417
"Cardiomyopathy, Dilated",1.2177414441871355e-10,0.0,0.0,1.152048648007982e-189,3.6504238042409527e-81,0.0,0.0,0.0,0.0,3.429713928982376e-189,0.0,0.0,0.0,0.0,0.12468767808743589,0.0,0.0,0.006079298497577918,5.854700386269969e-23,0.0,0.0,0.0,9.62081970230516e-161,0.0,0.0,1.9722957061001344e-08,0.0,0.0,0.0,2.3301409516959655e-41,1.4167425257818535e-64,0.0,0.0,0.0,9.14849391345805e-15,0.0,3.977164796254314e-160,0.0,2.2029983687189435e-17,0.0,1.918355545496545e-268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.307523007574348e-52,5.919838858236375e-119,0.0,0.0,1.242727501568038e-193,2.364498726528923e-08,0.7903055280986959,9.269769833886288e-63,4.724860371e-314,0.0,0.0,6.085623965926632e-19,0.0,2.350097555726404e-09,1.0780030101323385e-06
Hepacivirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7889118888879023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spinocerebellar Ataxias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975048245289736
Alzheimer Disease,0.0039576667095236355,2.6579383307167453e-86,4.9002088893665e-62,2.3748796130033057e-05,0.00042044179466171856,0.0,1.2805996342219918e-203,1.3797440515733189e-15,4.838655265103806e-65,0.011196474244693635,0.0,0.0007457030977917336,0.0,2.8647064454963443e-30,0.026876779475786008,0.0,1.8699069602588674e-35,0.6070588247518797,4.886286123744526e-05,1.1468789949702531e-152,0.3939684052178308,0.00031376989334844165,0.00026458987927217517,0.0,5.027580503241111e-33,8.65081480971122e-07,3.2320418101378526e-05,3.740540581378362e-37,8.948769473086523e-10,2.1542970903267487e-09,0.2373810514983467,2.863734346464267e-73,5.8035077972738776e-08,0.0,0.022144257564905564,0.0,0.9419237823640632,3.31276446098927e-06,0.0954696735809717,0.0,0.0008253285138985631,7.68653808424967e-05,0.0,5.300991971290007e-150,1.4231912190529677e-06,0.0,2.5453351639280198e-138,1.9406604124867156e-06,0.0001809394853358224,0.0068002118133143824,6.11442925321824e-28,0.0,0.0,0.8866686631901044,0.6679043613630501,0.027456044462286344,0.00304896240994562,5.415768570055606e-47,2.9613403260148104e-11,2.845770388995233e-76,0.8981597767002596,2.3444901805468622e-24,0.1293958955057063,0.0010869684462711483
