,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
7SK,0.0003965463501057864,4.235535810848496e-11,1.4763601509606555e-24,5.328858750385305e-97,4.5578641744833396e-33,0.0,9.469944611788313e-25,8.718844296279104e-15,1.452672482060617e-209,7.637413232760867e-21,0.0,7.662592388290644e-19,0.0,0.6182025929622478,0.00017240796888244524,0.0,5.6294228318521994e-39,7.255914060419141e-05,0.000545314036065255,1.6035565072083755e-12,5.096696639863268e-80,9.805665191784969e-06,2.548645409806085e-05,0.0,8.253066366647094e-37,2.1274317311970933e-06,0.00032328722941029145,0.0,6.100661604773001e-21,0.07487500472218381,2.621901978491132e-06,1.546874302074966e-10,3.6444033512686496e-30,4.1581197167736375e-06,4.230871188310822e-06,0.0,0.008664720734429553,0.06219234910539172,0.04119007159260806,0.0,0.0015153880113793657,4.0846967614881517e-13,0.0,0.0010632461005765825,0.0010194115398355556,0.00010377870749134579,2.6158648896324425e-06,2.666871850527028e-134,9.539876388213987e-81,1.1224206702467612,5.365689539526534e-06,0.0,0.0,1.9825974325241114e-23,8.242706799018286e-05,2.3766792266959287e-16,0.6330456528729163,0.019574331163244814,0.8479878557415438,2.2717650684851283e-11,0.02036309047866798,3.628850064096444e-05,0.0,3.1626699187678244e-08
ADAMTS9-AS2,0.3403248922246914,2.9980860485242687e-46,3.193597121642123e-05,3.2832025807022313e-54,2.7268590875576534e-32,0.0,2.2265155691238825e-197,1.0808622581758874e-241,1.5037116111933355e-142,1.0405027133063901e-55,0.0,1.7363867438222182e-20,0.0,1.008594450870261e-150,1.2417168476561864e-09,0.0,4.3749482888036434e-103,4.327202623108044e-37,5.891599999212569e-12,1.552732690815158e-19,9.901341586432324e-156,1.0340878987968444e-41,3.317521539341908e-147,0.0,7.9079487002950045e-19,6.135836243254844e-243,0.0,6.581857329769522e-65,3.459021664698667e-23,0.0,6.83312436149635e-33,7.939482022255517e-10,3.965719047610486e-78,0.0,1.2595154833237823e-105,0.0,5.426804821533116e-90,1.6268673168859275e-43,0.0,0.0,2.0269263439750198e-21,2.6967651277707394e-06,0.0,3.732376656724803e-163,1.5164081303784767e-07,1.0902766065814813e-32,4.921528786453057e-15,0.43819435228145337,1.8256720820087637e-06,3.4273420400576607e-07,0.0028224663101125225,0.0,0.0,3.6440566525376165e-107,5.456512990405686e-12,8.140718375027681e-22,5.477730801180966e-74,5.612072006124273e-281,0.0,2.197035369514472e-12,0.0,2.493965439019884e-78,3.802448605131934e-17,2.3493800823042098e-54
ATP6V1G2-DDX39B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2687557422811134e-10,0.0,0.0,4.835866111624755e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2625483656380918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATXN8OS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974762281507786
BACE1-AS,0.0009630931945393085,5.833788612498749e-41,2.7078892429358336e-25,1.1448480234291842e-136,1.998008869054257e-08,0.0,0.0,5.115391366729405e-14,0.0,1.702143116093382e-44,0.0,0.27401474810312093,0.0,1.9302938619442372e-21,1.7924312950511048e-14,0.0,1.3453141975889739e-11,0.016696023153301882,2.8890242870998747e-50,2.8121963263725404e-24,1.284338947401,0.0064492046579242715,3.9521997144550546e-47,0.0,6.281511418092199e-115,8.799876416429058e-14,5.8658861090800405e-59,4.1288938791860807e-50,2.1737222176175494e-57,4.440535480630016e-93,4.673106017131372e-07,0.0,1.0190791624575867e-27,2.632067647231392e-287,1.9541451992099894e-08,0.0,0.02008980171939581,1.864846579484587e-12,1.4365192102164191e-09,0.0,1.1456727609989484e-94,0.0,0.0,1.720484754211062e-20,0.0,0.0010039207200328833,2.8767404495265035e-24,4.2789345883935286e-234,1.5115537327530736e-20,8.373254303918936e-15,5.738596327253179e-201,0.0,0.0,0.04140055147271227,0.5853217861062971,3.3852689618791264e-14,5.944883512338674e-25,1.764131536561324e-151,7.158726977670994e-168,1.08773885858077e-09,0.03644936188218555,1.8790485662622394e-13,4.1969749968951285e-05,8.591899329520447e-10
BANCR,0.036363327039765164,0.0023423778336404437,9.14921261785318e-07,0.0009298090246352207,0.0005415165574145119,0.0,0.8717484704187496,0.10849703998793012,0.00920450910275794,4.0785712140011005e-06,0.0,0.0005572995743061256,0.0,4.623684129898264e-09,0.011858474066160321,0.0,0.004244074176647115,0.0006751638378610801,0.0221964625826537,0.000702171614024402,0.007183426228713946,0.06637861895716646,0.018349769554858248,0.0,1.2784924256535258e-10,0.06052734026832316,0.8144829717362317,5.847764884247111e-12,0.0008110680099203107,0.00037513028477784827,0.12864954566081743,0.04105984243202734,0.0918081639182356,9.117356241386545e-05,0.015354450724210331,0.0,0.1214880825080695,0.10807286811464883,0.2896740758994035,0.0,0.004799109229403073,0.00973674076735609,0.0,0.0005219435167775283,0.003026534202200033,0.17390821829792721,3.563343389662998e-05,1.048269028232456e-11,0.005890741338176537,0.3617824188756808,0.0009223677673334908,0.0,0.0,0.005372589948573991,0.032998731577824535,4.064568000028322e-06,0.0016847358961880824,0.03384804375464116,0.0004449636376885088,0.002499174715959599,0.35867826024890265,0.014385287205130824,1.1479974986781436,0.00016944939629922026
BC040587,0.0010706313182482895,9.802368200145296e-33,1.2340153197633513e-11,5.442166907921666e-05,7.233676651659446e-08,0.0,7.770996998535774e-20,0.00020923476775040688,0.3952436216991314,3.0618611939471404e-17,0.0,2.483509776846903e-26,0.0,3.867404134639755e-12,5.00523633264704e-10,0.0,3.4050102769771967e-11,0.003470341809247378,5.4948698806189125e-08,1.0787092553155975e-09,2.270735986672876e-182,5.71551808703828e-10,3.110398117528965e-05,0.0,0.0,0.3407423436711981,0.35400722772329046,8.070467977718428e-55,4.4590604623953706e-06,5.835510118024026e-156,8.44144956903111e-09,6.431773264708271e-10,1.6354472371275464e-26,1.1469860825789352e-22,2.069569125571625e-18,0.0,0.11668763689626525,0.0013705945229982365,9.686035963319663e-16,0.0,2.2732407052741793e-21,2.428860995380157e-13,0.0,1.7604838494715455e-41,1.0985673505536913e-07,0.004155093245971515,3.4331283190097287e-85,5.730454431003336e-168,0.00048688406798526237,0.2450637738382908,3.222762881732953e-219,0.0,0.0,3.936554183028397e-06,3.09401317472417e-262,1.0365413842558424e-11,2.69174555112359e-70,2.8409720531787135e-45,0.01793925973231921,7.98612828390017e-17,0.0005991942154422828,1.6985194111233187e-21,1.2599809007433616e-06,2.8719180768521517e-12
BCAR4,0.025813208946703824,1.1897553764956269e-31,1.3861225511535589e-11,0.00042729338361170667,6.331150861535028e-10,0.0,2.185357171950254e-09,1.0659264404449982e-05,0.34137381518981413,8.776712798851453e-10,0.0,3.783828721592489e-05,0.0,1.6465797029281535e-13,6.050749839143922e-09,0.0,5.857891552385397e-11,0.007150067605929295,0.02800643975856006,4.720653485555542e-10,4.150096904472219e-182,0.0003421480788676177,5.359806467067703e-05,0.0,1.0288681910234149e-145,0.4036138827302296,0.2245183714165714,1.8741106055790294e-19,3.0782335569962115e-05,1.7610818576496932e-152,3.968617668584484e-09,7.259927436786714e-05,1.3438860425551854e-16,2.087685745221146e-22,7.583020412065226e-07,0.0,0.5277076734603267,0.011897993377574826,0.00019841396130181556,0.0,5.784503671216213e-11,0.0003687836943998679,0.0,7.274112830743342e-18,0.0012979706261269926,0.0001276205217185953,4.7038049076219506e-20,2.0567524343571305e-15,0.0033704081470203803,0.02249057668978458,9.405468449887938e-47,0.0,0.0,0.002500118294721536,1.2739622526701673e-10,0.0,1.3165412049328271e-21,6.785211157547359e-09,0.07876051958988542,1.7539700294279167e-16,0.0033106552700635215,0.0013158302668768195,1.541052217608332e-05,2.692536796768668e-05
BCYRN1,0.4122058851559611,1.814373939298699e-05,0.0017138557314822808,0.00031906910466248485,0.34670223777241377,0.0,2.3089281671038807e-05,0.0006912507481492362,1.1890892548069194e-22,5.5453955005555726e-08,0.0,0.054326820245640645,0.0,2.1696708177915897e-07,0.007338337820321776,0.0,0.006365589875363292,0.006250088521106789,0.002045898224724468,0.00019267944661002087,0.013535799920609342,0.16507030367264858,0.020392910301339225,0.0,1.342751649301097e-06,0.0018269679539361862,0.0365520615353376,7.896683412171182e-05,2.0057641102416358e-05,0.00016189188519177838,2.5657327600157216,0.00587144444730525,7.813044237186539e-05,1.3993989722664846e-16,0.018879625316911536,0.0,0.0024380151680302204,0.04919063923320509,0.18978921077672872,0.0,9.471438809034971e-05,0.0005990583531497192,0.0,0.0013032492447949606,0.21049563314501382,0.12136196448348545,1.8072340213009385e-05,0.05574339863853078,0.028737350355672594,0.37882588124846756,0.009337179623158325,0.0,0.0,0.006395443695859763,0.09493252882502491,0.0001395189368407903,0.0007861923904160017,0.00018974696589142104,9.818220473319787e-05,0.004149880781851129,0.3153303132111679,0.0009652099791607391,0.031178591781123807,8.162424874889648e-05
BDNF-AS,0.0,0.0,0.0,0.0,0.0,0.0,7.213203230689955e-237,3.2058816534478802e-158,1.4218106648606197,0.04785631497756112,0.0,0.0011618703314009709,0.0,0.0,0.058580660321766016,0.0,0.0,0.08924527475695485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3255200880531078e-57,0.0,0.0,9.50350816936276e-08,0.8340711152051924,0.0,0.0,0.0,0.0,0.0,0.0016691029097073476,0.0,0.0,0.0,0.0,0.0,0.0,6.778480264782494e-15,0.0,0.0,3.335188741984226e-09,0.0,1.1645576584509628e-221,0.060279434851615216,0.0,0.0,0.0,2.940923741677943e-47,0.0,1.8425460489187314e-145,1.0873861982036104e-67,0.0,0.0,0.0,0.0,0.0,6.799681766862642e-20,1.4405445768692827e-36
