,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Acquired Immunodeficiency Syndrome,-0.15038145,-0.049408123,-0.14792389,-0.3594008,-0.28500473,-0.21392322,0.10638958,0.22445022,-0.2785681,0.41388392,0.122244105,-0.2851565,0.38140374,-0.3112529,0.058148474,0.08420568,-0.11196948,-0.11892084,0.1493431,0.1853415,0.071168855,0.09740023,0.66939616,-0.00044232607,-0.1707598,-0.2993549,0.2145842,-0.026797868,0.2801402,-0.091437474,-0.36396667,-0.63074553,0.1788033,0.01141471,0.04343865,0.06703831,0.024629328,0.1824909,-0.19105065,0.20934792,-0.06647605,-0.03975542,0.092414975,0.37816986,0.25678176,0.13873297,0.063787006,0.3723414,-0.10360928,0.13674508,0.0071606636,0.36859077,-0.43171057,0.17462057,-0.17170836,-0.52423453,-0.8526341,0.19975868,-0.22173643,0.36962098,-0.15297042,-0.024950825,0.07090208,0.33733553
Neoplasms,0.108293235,0.26449817,0.51363385,-1.0691184,0.08601937,0.72636676,0.5593418,0.9723503,0.657974,0.18252331,0.6173965,-0.48708624,-0.49592102,-1.0279177,-0.14975366,-0.1924461,-0.6194963,-0.09232892,0.56270576,-0.66790134,1.3778292,0.5161736,-0.8427921,0.6114881,-0.29996777,-0.822827,-1.0046195,0.044294506,0.8241431,-0.03428211,0.41271758,-0.8442785,0.7598026,0.28954297,-0.40905055,-0.03903927,-0.28058815,0.49316946,0.1420893,1.0156989,-0.32070252,0.9557705,-0.5350927,-0.28151613,0.036940634,-0.69491625,0.2673893,0.8174686,-0.097501695,-0.039943546,0.55336034,1.2525834,-0.5817806,-0.39932895,-0.06910159,-0.041351944,1.456413,0.10603802,0.011500239,0.97104585,-0.5518358,0.1464707,0.48155954,0.11364694
Cardiomegaly,0.32838705,0.0426189,0.17811465,-0.4649214,-0.3086625,-0.12460814,0.2593283,0.14063789,-0.40859303,-0.3006218,0.42819935,0.022263985,0.11012817,-0.30040637,0.037713476,0.43112063,0.042645086,-0.43153325,0.27526096,-0.07692554,-0.035808243,-0.19065046,0.47576392,-0.012293783,0.46902788,-0.27329776,-0.17205893,0.21402942,0.2061608,0.25696036,0.23800078,-0.50762993,0.09375166,-0.1403695,-0.11580742,0.0696754,-0.12750617,-0.16104811,0.07843924,-0.49425143,-0.03962145,0.361741,0.032340545,0.17161268,-0.044181526,-0.28475186,-0.3376125,0.20394237,-0.3095751,-0.07531238,-0.02339257,0.109000236,-0.09148834,-0.0759791,0.39202392,0.070270814,0.13454516,-0.26248318,-0.32541296,-0.22447683,0.18047306,-0.016513852,0.41905975,-0.27509314
Stomach Neoplasms,0.018181115,1.7865202,0.8853289,-0.02587182,-0.5764159,-0.0348593,1.4056075,1.3457856,0.1361827,0.1358044,0.3056314,-0.6382295,-0.28014103,-0.047166377,1.085151,0.38047123,-0.42595702,-0.54021686,0.5121204,-0.67118084,1.0164056,0.5650226,-0.7953663,0.5663491,0.19348535,-0.85552996,-0.92722917,-0.48092532,0.19550937,0.008811742,0.9277039,-0.12236124,0.14886844,0.76529634,-1.2138447,0.5130265,-0.6453739,1.5635923,0.76845515,0.9507381,0.9901556,0.3132214,-0.2980047,0.2490433,-0.46709794,-0.06410165,-0.18786943,0.05667916,-1.4381377,-0.9450148,0.032917798,0.76224285,-0.6313007,0.15859598,0.12444207,0.41844627,0.17666554,-0.56494504,-1.018625,1.1922734,-0.37981388,0.09219062,-0.5425851,-0.054534048
Multiple Sclerosis,0.21302623,0.25302044,-0.31984395,-0.27357656,-0.06386001,-0.48743314,0.052380264,0.536161,-0.13700452,0.30686212,0.38654894,-0.09484586,0.5744166,-0.020793788,-0.34369507,0.1863678,0.34358352,-0.0072668567,-0.10255376,0.27420866,-0.10048351,0.3418518,0.009413023,0.58602655,-0.2809005,-0.23707312,-0.60387,-0.11102384,-0.25364053,-0.073831655,0.0166963,-0.26530403,0.081215456,0.5301736,-0.22059944,0.03788898,0.052667223,-0.44409177,0.15869391,-0.18848994,-0.08331975,-0.40018567,0.089573525,0.04319808,-0.006433964,0.60501885,-0.2090141,-0.13797086,-0.35748488,-0.18102425,0.15296955,0.28648037,0.0658723,0.1516795,0.09142925,-0.2912543,-0.12091555,0.10105108,-0.49705142,0.10473168,0.15307276,0.19752452,0.21246836,-0.07860589
Glioma,-0.55379856,1.0711448,0.4156092,0.34811994,0.3648516,-0.5823251,0.26406974,0.43701687,-0.058123708,-0.020293623,0.48401833,0.04290332,-0.81975764,0.9385174,0.12664264,0.06564176,-0.09411293,-0.46517688,0.410132,-0.26672697,0.52242696,1.3576121,-1.0077535,1.2063516,-0.16896018,-0.5876857,-1.0519172,-0.535676,1.0246991,0.680174,-0.38287455,-0.55835915,0.534105,0.21641356,0.08963707,-0.75020224,-0.19812435,0.653046,0.81916785,1.2620022,0.62008244,0.083150744,0.29579523,-1.0432097,-0.77917624,0.47058636,0.14419904,0.23954387,0.2239438,-0.06834398,-0.47478408,-0.3469792,-0.51898557,0.18945259,0.12367168,-0.18399103,0.16444302,-0.64327735,-0.18277127,0.5782189,-0.7314042,0.30432466,-0.21191886,-0.022826418
"Cardiomyopathy, Dilated",0.39928356,0.009905368,-0.009767302,-0.41114968,0.3121865,0.002235633,0.36018145,-0.10263268,-0.02054931,-0.14447427,0.053729758,-0.01877527,0.46647254,-0.12671,0.08121067,0.40413144,-0.10218987,-0.28551853,-0.33290094,-0.123250104,-0.1898188,-0.24583739,-0.13360998,-0.10348834,0.28596598,0.17263156,-0.13036923,-0.3921275,0.18412119,-0.12772492,-0.082733884,0.08137506,0.2272027,0.5116568,-0.16415933,0.05985857,0.44771504,0.0021008588,0.4431454,0.15290788,-0.14131357,-0.07411213,-0.2737069,0.098667674,-0.24498692,-0.010994337,0.24298652,0.33904493,0.523281,-0.010290874,0.32149285,-0.25378856,0.058114056,-0.35070887,-0.04535163,-0.10049161,-0.086652055,0.0059686825,0.3613682,0.016557593,-0.22644903,-0.13346891,-0.31180695,0.07603477
Hepacivirus,0.3989399,0.009817024,-0.009538669,-0.4110515,0.31201908,0.0021461404,0.36030203,-0.102623954,-0.020430155,-0.14484861,0.053680256,-0.01849256,0.4663341,-0.12652571,0.08130215,0.40423414,-0.10218781,-0.2851575,-0.33309633,-0.12298162,-0.18964794,-0.24549675,-0.13331524,-0.10330041,0.28612685,0.17255718,-0.13021609,-0.39218938,0.1841571,-0.12767318,-0.08275321,0.08162948,0.22693723,0.5117526,-0.16391781,0.060056068,0.4474817,0.0020112947,0.44263178,0.15294611,-0.14100836,-0.0739318,-0.27337623,0.09867501,-0.24469435,-0.01092509,0.24315616,0.33878583,0.5230567,-0.010467013,0.32115307,-0.25376242,0.05799496,-0.35029078,-0.04497865,-0.100765556,-0.086577125,0.0059876656,0.36107874,0.016440388,-0.22593659,-0.13366689,-0.31162596,0.07620613
Spinocerebellar Ataxias,-0.041216582,-0.013556719,-0.14048766,0.21939448,-0.21065137,0.113133654,0.36412877,0.443934,-0.029744826,0.11927019,-0.031105816,-0.1000936,0.30474612,-0.092263095,-0.38697463,0.068226635,0.21292755,-0.030516695,0.17499372,-0.024478553,0.11047884,0.12492295,0.04149483,-0.04249797,-0.29172894,0.06938682,0.2701695,-0.15197249,-0.22954541,-0.2795412,-0.09062575,0.17660046,-0.23894438,-0.29208177,0.15461637,0.19928274,0.15427256,0.120254174,0.35274774,-0.2416141,0.14707756,0.29357493,0.09825007,-0.21167168,-0.0918886,0.06623109,0.27578005,0.20643732,0.1257993,-0.0370356,0.18745828,-0.15592185,-0.39169323,0.5101763,0.39847124,0.08091821,0.1560962,-0.10856362,0.31185883,-0.23083536,-0.39208943,-0.15052669,0.20235315,-0.20173845
Alzheimer Disease,-0.18097034,0.7309028,0.01489985,0.062800765,0.252025,0.6465177,-0.13356715,0.1647617,0.6662233,-0.052702315,-0.25718963,-0.33597165,-0.0030702353,0.39292842,-0.58281356,-0.4116885,-0.5380367,-0.4900846,0.119839266,-0.0720294,0.3898289,-0.31352335,0.27255428,0.28086308,0.6326265,-0.0664714,0.37197798,-0.5193557,0.27734616,-0.5983807,0.2807647,-0.71967053,0.5421216,-0.08072199,-0.37940776,-0.16946915,-0.16280442,-0.17682067,-0.030325104,0.023616731,-0.33140695,-0.33303434,-0.28075677,-0.56134784,-0.3307404,0.7499663,-0.6207321,0.24675347,0.53328913,0.46130118,0.05730635,-0.4033364,-0.63642406,-0.186845,-0.37507343,-0.22866134,0.6076923,-0.9881737,-0.011958107,0.12896982,-0.52800775,0.83048046,-0.08964649,0.397794
