,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
7SK,0.24296287,0.068293855,0.14233465,0.23758048,-0.17380318,-0.059451804,0.31737226,-0.33805364,0.43861914,0.17078808,-0.24099967,0.2192108,-0.59242064,-0.24714099,0.1270827,0.16096094,-0.00408582,-0.101204276,-0.23125976,0.040482596,0.07112284,0.03087905,0.5062397,0.8120969,0.1294668,0.2941287,-0.08732161,0.05042152,-0.22836955,0.036036294,0.089705616,-0.20869172,-0.5629741,0.2711209,0.11445116,-0.19649073,0.37292573,0.016477153,0.59816885,0.26071435,0.03187871,0.010269567,0.53403485,-0.2580834,-0.208986,-0.14467105,-0.07201727,0.6442565,-0.5171485,-0.074563354,-0.11638555,-0.5382683,-0.2254444,-0.6069948,-0.9660474,0.21314156,-0.11017641,-0.103021815,-0.11557899,-0.21650413,-0.008543164,0.22078604,-0.3097507,-0.05092877
ADAMTS9-AS2,0.3825842,-0.13519679,0.032662474,0.005001441,-0.34656563,0.3110194,0.32789072,0.08509175,0.3341841,-0.1849529,-0.17180404,-0.358124,-0.2508747,0.11724129,0.013085404,0.14167595,-0.32360634,-0.106895566,-0.2999962,0.068503566,-0.12705186,-0.1308912,0.11521147,0.25071144,0.07833222,0.08717067,0.4604443,0.15801,-0.34040296,0.057529535,0.1718966,-0.2985217,-0.23921435,0.33132005,0.12726559,0.15834236,0.2565368,0.2395899,-0.11112849,0.15194832,0.10542979,-0.35214552,0.092283845,0.13171342,-0.21776038,-0.33918017,0.100851394,-0.25449508,0.13870153,-0.08074952,0.25300604,0.1124251,-0.22798759,0.12831432,-0.23270673,0.2532859,0.089122064,0.25181884,-0.3674498,0.0022383416,-0.21052553,-0.022138799,0.05232902,0.30760255
ATP6V1G2-DDX39B,0.4025849,-0.15489824,0.04166359,-0.008746507,-0.37738264,0.32646382,0.3604473,0.07428838,0.3647594,-0.19837108,-0.21266423,-0.3726598,-0.2761581,0.12409034,0.014993445,0.09916133,-0.34612504,-0.07432803,-0.31833595,0.05083464,-0.12398904,-0.10880239,0.10620792,0.24858178,0.0690755,0.093156025,0.4678202,0.14535078,-0.36332595,0.06165837,0.15344606,-0.32965732,-0.23990002,0.34990174,0.16719139,0.15612756,0.2575208,0.25983584,-0.11281338,0.1652699,0.08646173,-0.36292654,0.082068875,0.13489974,-0.22450787,-0.3529607,0.14466198,-0.27038467,0.14554651,-0.06643479,0.2614727,0.10834241,-0.24360956,0.114472166,-0.23475379,0.26594666,0.09925626,0.26459128,-0.3919999,-0.039165467,-0.19060333,-0.0164843,0.03949057,0.3119508
ATXN8OS,0.39626926,-0.1475634,0.07453897,-0.036867674,-0.38391784,0.32537037,0.3671838,0.011119042,0.329839,-0.2231361,-0.20804745,-0.38363683,-0.27391812,0.094642,0.017271284,0.10154432,-0.36143917,-0.08228271,-0.33189586,0.024718035,-0.14385642,-0.1045205,0.09460908,0.23075414,0.026845342,0.08496864,0.42941958,0.14546761,-0.3687486,0.086486235,0.13632037,-0.34778273,-0.20879874,0.36304164,0.1807889,0.1614403,0.22036777,0.2776405,-0.12710015,0.17549881,0.10399439,-0.3639998,0.10953511,0.11125719,-0.18257353,-0.37201366,0.08284645,-0.23222353,0.121573955,-0.088378586,0.26703724,0.060830176,-0.23870166,0.101806894,-0.21698424,0.26982975,0.09915194,0.26985115,-0.3984922,-0.07254987,-0.14149149,0.0149188815,0.046645448,0.27743652
BACE1-AS,0.34358108,-0.28496096,-0.21837443,-0.7551116,-0.4290882,0.10526496,0.015496738,-0.10493003,0.2609465,0.12591419,-0.5589298,0.11084633,-0.26313195,-0.100778475,0.27513283,-0.63407016,0.2027638,0.2216518,0.08900665,-0.15844086,0.13377541,0.71680206,-0.08137022,0.033324834,-0.5398242,0.4799052,0.06533617,-0.0036688857,-0.21269313,-0.2976991,-0.72747195,-0.14961421,-0.048301402,-0.21839009,0.47058105,-0.050250605,0.17770544,-0.66176134,0.061716378,0.42358118,-0.5519855,0.009081632,-0.524046,0.10261434,0.30850407,-0.20942122,0.7085037,0.122769974,0.34765562,0.26286164,0.3651231,-0.3027709,0.20122845,0.018258614,0.04936901,0.32834956,-0.17225471,0.48590392,-0.44204503,-0.13432448,0.47994226,-0.089955814,-0.04226424,0.13227251
BANCR,-0.4615102,-0.21875903,0.1391964,-0.22228704,-0.91341937,-0.9170869,0.22389728,0.24158424,0.2705105,0.09182778,-0.061866477,-0.07760024,-0.6544606,0.8641318,0.6357496,-0.32144848,-0.3753631,-0.1571877,0.4461981,-0.598765,0.14915416,-0.011576682,0.21405157,0.2896775,-0.031916678,-0.1919529,-0.13310051,0.69237506,0.13745369,0.2694345,-0.22242248,-0.41429463,-0.71822953,0.27542144,-0.594869,0.10401231,-0.3829752,-0.04404965,-0.39983195,-0.9584037,0.3813038,0.5692835,-0.8164791,-0.85669744,-0.026733786,0.57396644,-0.22430925,-0.1663325,-1.1658026,0.29754144,-0.7339565,-0.34762865,-0.070219755,0.33920866,-0.17742619,-0.22200972,-0.12571114,-0.06985544,-0.51421285,-0.04527481,0.004002787,-0.20134008,-0.478084,-0.10285546
BC040587,0.3766951,-0.24338219,0.24443871,-0.10845422,-0.46432373,0.3699472,0.45379612,-0.18423548,0.26036718,-0.3116827,-0.2780585,-0.4636878,-0.34554607,0.00021957932,-0.019628327,0.038364135,-0.41675922,0.020558247,-0.40474164,-0.10347631,-0.25792092,-0.039613117,0.068389975,0.15925121,-0.1592287,0.077015646,0.2957917,0.18759157,-0.37837157,0.2721724,0.07683325,-0.4326399,-0.14777467,0.41111583,0.28683522,0.15633231,0.045691196,0.42618072,-0.18544844,0.22115627,0.115085416,-0.360114,0.2148415,-0.0058197523,-0.03538641,-0.50783074,-0.0050140438,-0.15543117,0.10989173,-0.13624024,0.30720288,-0.12111241,-0.18932043,-0.05023937,-0.17363964,0.26828066,0.13895515,0.3600705,-0.48003796,-0.15646462,0.07049718,0.17297809,0.07727956,0.24743253
BCAR4,0.27881044,-0.56456184,0.5453111,-0.21603215,-0.5946499,0.38787067,0.45941,-0.44689545,0.003528526,-0.4537438,-0.34152436,-0.62428844,-0.5316382,-0.20887956,-0.17744952,0.107555956,-0.46050477,0.16156328,-0.53185934,-0.2433614,-0.46083608,-0.083758384,0.14107113,0.07351263,-0.54053706,0.005840525,0.0013315938,0.4216203,-0.32285058,0.7326221,0.033190716,-0.45620894,-0.2245704,0.45426112,0.28900418,0.1930189,-0.28796658,0.58040756,-0.39699876,0.21531801,0.40451264,-0.25269192,0.49993497,-0.3631872,0.349921,-0.82247955,-0.17534477,-0.027547901,0.023107039,-0.27872553,0.41989562,-0.53407794,0.106167,-0.33210325,-0.20634972,0.12307869,0.13578904,0.53665537,-0.6872282,0.03429628,0.36463127,0.44725046,0.18193601,0.29884955
BCYRN1,0.04465502,0.051094208,0.23162837,0.5575372,-0.5244334,-0.033915736,0.77748585,0.85023344,0.9186698,0.029934019,-0.13366076,-0.51579463,-0.32219458,0.15134223,0.07830274,1.0461922,-0.13910799,-0.31253013,0.31867862,-0.20304973,-0.93594456,0.7286969,-0.29302725,0.08589828,-0.6549171,0.28233314,0.3711995,0.24115954,0.2690283,0.24741524,-0.74033064,0.0064861476,0.316563,0.11920571,-0.37847406,0.011022657,-0.30511326,-0.12910235,-0.05250238,-0.1734871,-0.34709457,0.058486104,-1.0833405,0.08062568,-0.012382962,-0.12889792,-0.6682099,-0.115346074,0.15658784,0.3632094,0.53652793,-1.2247115,-0.41843984,-0.74030983,-0.10895327,-0.4364697,-0.22701195,0.6573566,-0.5557324,0.41880304,0.07588014,0.10043176,-0.4021471,0.06495094
BDNF-AS,0.6156132,-0.40147805,0.39631784,-0.08266425,-0.10005678,0.06407598,0.22604416,0.06959914,-0.038019735,-0.48585024,0.10879478,-0.31938794,-1.0075667,-0.469957,0.31506187,0.635632,-0.026839538,0.13731426,0.035134435,-0.47030282,-0.7518841,0.33585092,-0.23340537,-0.02663051,0.13627419,0.018967655,0.37956303,-0.08317548,-0.64774746,0.24837372,-0.753183,-0.37747353,0.20192784,0.2797131,-0.028310888,0.1774658,-0.3104599,0.26064384,0.43317991,0.5032976,0.62421364,0.044701643,0.76885706,-0.02317549,0.5793811,-0.49965245,0.31419542,-0.09484314,0.058276534,-0.18413101,0.5676092,-0.22429547,0.001952732,0.07678388,-0.07329418,0.56042504,0.4584008,0.51231736,-0.15019406,0.63164926,0.11252974,0.14236262,-0.34343523,0.038651522
