,Acquired Immunodeficiency Syndrome,Neoplasms,Cardiomegaly,Stomach Neoplasms,Multiple Sclerosis,Glioma,"Cardiomyopathy, Dilated",Hepacivirus,Spinocerebellar Ataxias,Alzheimer Disease,"Myositis, Inclusion Body",Ovarian Neoplasms,Melanoma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Esophageal Squamous Cell Carcinoma,"Thyroid Cancer, Papillary",Osteosarcoma,Retinoblastoma,"Carcinoma, Hepatocellular",Colorectal Neoplasms,Lung Neoplasms,Breast Neoplasms,Aging,Uterine Cervical Neoplasms,Esophageal Neoplasms,Parotid Neoplasms,Tongue Neoplasms,Depression,Huntington Disease,Mental Disorders,Schizophrenia,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Prostatic Neoplasms,Adenocarcinoma of Lung,"Leukemia, Myeloid, Acute",Gallbladder Neoplasms,Colonic Neoplasms,Small Cell Lung Carcinoma,Pancreatic Neoplasms,Hematologic Neoplasms,Atherosclerosis,Periodontitis,"Aortic Aneurysm, Abdominal",Precursor Cell Lymphoblastic Leukemia-Lymphoma,Aortic Aneurysm,"Carcinoma, Basal Cell",Cardiovascular Diseases,Coronary Artery Disease,Coronary Disease,Diabetes Mellitus,Endometriosis,Intracranial Aneurysm,Frailty,Glaucoma,Leukemia,Myocardial Infarction,Nasopharyngeal Carcinoma,Neurofibromatoses,Peripheral Arterial Disease,"Neurofibroma, Plexiform",Stroke,"Diabetes Mellitus, Type 2",Thyroid Neoplasms,Hypertension,Primary Myelofibrosis,"Leukemia, Lymphocytic, Chronic, B-Cell",Medulloblastoma,Bone Diseases,"Osteoporosis, Postmenopausal",Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Mood Disorders,Autism Spectrum Disorder,"Leukemia, Lymphoid",Lymphoma,"Carcinoma, Embryonal",Autoimmune Diseases,Kidney Neoplasms,Head and Neck Neoplasms,Liver Cirrhosis,Osteoarthritis,"Lymphoma, Mantle-Cell",Adrenocortical Carcinoma,Beckwith-Wiedemann Syndrome,Hydatidiform Mole,Choriocarcinoma,Congenital Hyperinsulinism,"Neoplasms, Germ Cell and Embryonal",Gestational Trophoblastic Disease,Glioblastoma,Hyperhomocysteinemia,Infertility,Liver Neoplasms,Marek Disease,Meningioma,Neural Tube Defects,Neuroblastoma,Obesity,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Pre-Eclampsia,Silver-Russell Syndrome,Trophoblastic Neoplasms,Wilms Tumor,Diabetic Cardiomyopathies,"Colitis, Ulcerative",Pneumoconiosis,"Heart Defects, Congenital",Parkinson Disease,Adenocarcinoma,Gastrointestinal Neoplasms,"Arthritis, Rheumatoid",Gastrointestinal Stromal Tumors,Asthenozoospermia,Squamous Cell Carcinoma of Head and Neck,"Diabetes Mellitus, Type 1",Uterine Neoplasms,Multiple Myeloma,Hemangioma,"Carcinoma, Ovarian Epithelial",Pulmonary Arterial Hypertension,Amyotrophic Lateral Sclerosis,"Vitreoretinopathy, Proliferative",Congenital Microtia,HIV,Diabetic Retinopathy,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Substance-Related Disorders,Myelodysplastic Syndromes,"Purpura, Thrombocytopenic",Metabolic Syndrome,Myopia,"Leukemia, Myeloid",Down Syndrome,Psoriasis,Burkitt Lymphoma,Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Asthma,"Leukemia, Promyelocytic, Acute","Lymphoma, B-Cell",Rhabdomyosarcoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Renal Insufficiency, Chronic",Hepatoblastoma,"Carcinoma, Squamous Cell",Urinary Bladder,Klinefelter Syndrome,"Glomerulonephritis, Membranous"
Acquired Immunodeficiency Syndrome,1,0,0,0,0.051537023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048039002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042939826,0,0,0,0,0,0,0,0,0.055321607,0.056951385,0,0.13647683,0,0,0,0,0.043488916,0,0,0,0,0,0,0,0,0,0,0,0.119056677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067586216,0,0,0,0.074371575,0,0.043386128,0,0,0,0,0,0,0,0,0,0,0,0.082600162,0,0,0,0,0,0.097963873,0,0,0.048979983,0.05961621,0.043644488,0,0.043488916,0,0,0,0,0,0,0,0,0.075527321
Neoplasms,0,1,0,0.244932325,0,0.266210956,0,0,0,0,0,0.183343343,0.25875392,0.241103705,0.225460399,0.171632985,0.191781362,0.258454649,0.164003848,0.209130825,0.195881977,0.258750426,0.322614575,0,0.216382437,0.222842159,0.220717913,0.244867508,0,0,0,0,0.195104005,0.247145315,0.181885252,0.244868508,0.220634996,0.335875462,0.244932325,0.235773572,0.241103705,0.233590418,0.342686251,0,0,0,0.248352782,0,0.283736906,0,0,0,0,0,0,0,0,0.458881481,0,0.194465257,0.194133224,0,0.2553862,0,0,0.25212328,0,0,0.25526308,0.231820135,0,0,0,0,0,0,0,0.239276759,0.280368717,0.379706253,0,0.225460399,0.458881481,0,0,0.274846953,0.189910758,0,0.281462139,0.221675555,0,0.458881481,0.287226627,0.26835571,0,0,0.289342406,0,0.226298016,0,0.26835571,0,0.282554643,0.184505932,0,0,0,0.295221551,0.192783763,0,0,0,0,0,0.335875462,0.289342406,0,0.225865568,0,0.263842568,0,0.236923077,0.162335777,0.379706253,0.166643062,0,0,0,0,0,0,0.236890505,0,0,0,0,0,0.379706253,0,0,0.184691512,0,0,0.2771978,0.273181866,0,0.310308597,0.274846953,0.278942192,0,0,0,0.379706253,0.283736906,0,0,0
Cardiomegaly,0,0,1,0,0,0,0.531791998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094853694,0,0.088692204,0,0.102261641,0,0.323953262,0.20341088,0.278809252,0,0,0.089278844,0.116896624,0,0,0.278809252,0,0,0.092574477,0,0.099565961,0,0,0.146368063,0,0,0,0,0,0,0,0.144871697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050782683,0,0,0,0,0,0,0,0.24297397,0,0,0.309932548,0,0,0,0,0,0,0,0,0,0.063716536,0,0,0,0,0,0,0,0.085700892,0,0,0,0.043034835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomach Neoplasms,0,0.244932325,0,1,0,0.043206775,0,0,0,0,0,0.109826529,0.052390997,0.079117447,0.102945407,0.374674741,0.092342049,0.04242504,0.082684367,0.25462005,0.407233001,0.112410883,0.202455138,0,0.08439771,0.529656998,0.085492602,0.108578013,0,0,0,0,0.114770598,0.09185201,0.075108458,0.108573445,0.085476061,0.049532348,0.282304041,0.40214593,0.079117447,0.337365629,0.209997692,0,0,0,0.041375502,0,0.044916432,0,0,0,0,0,0,0,0,0.093484845,0,0.075738778,0.054386802,0,0.035400096,0,0,0.136426623,0,0,0.035389624,0.033321896,0,0,0,0,0,0,0,0.04979841,0.069993941,0.065795686,0,0.102945407,0.247530037,0.111240816,0,0.044056903,0.07736732,0,0.044694514,0.047324262,0.072366379,0.093484845,0.05593305,0.031885422,0,0,0.386759888,0,0.097817775,0,0.031885422,0,0.032867472,0.110323318,0,0,0,0.072342881,0.095423659,0,0.138711944,0,0,0,0.049532348,0.766842352,0,0.467103885,0,0.140453912,0,0.106311596,0.037968012,0.065795686,0.083638979,0,0,0,0,0,0,0.040149912,0,0,0,0,0,0.065795686,0,0,0.028666887,0,0,0.054716725,0.054222576,0,0.039715208,0.044056903,0.037336381,0,0,0,0.065795686,0.044916432,0,0,0
Multiple Sclerosis,0.051537023,0,0,0,1,0,0,0,0.045044252,0.06571003,0.067688606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045706647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046446001,0,0,0,0,0,0,0,0.048480323,0,0,0,0,0,0.067102872,0,0.052375778,0.063317676,0,0,0,0,0.039913035,0,0,0,0,0,0,0,0,0.055536028,0.057564966,0,0.432398134,0,0,0,0,0.040560454,0,0,0,0,0,0,0,0,0,0,0,0.044467211,0.051457089,0.107917023,0,0,0,0.037873543,0.042131829,0,0,0,0,0,0,0,0,0.088080986,0,0,0.183599969,0,0,0,0.20651128,0,0.041481178,0,0,0,0.058213795,0,0,0,0,0,0,0,0.087958001,0,0,0,0.049876111,0,0.027194546,0,0,0.047589373,0.060943199,0.041251697,0,0.040560454,0,0,0,0,0,0,0,0,0.21051538
Glioma,0,0.266210956,0,0.043206775,0,1,0,0,0,0,0,0.043193212,0.398066674,0.031551701,0.040845862,0.150370334,0.144989721,0.118560704,0.497715677,0.1734686,0.031254956,0.044809564,0.080809149,0,0.033496715,0.049757585,0.03395367,0.04320008,0,0,0,0,0.045221769,0.036619755,0.156019653,0.043198289,0.178653715,0.139719641,0.043206775,0.031089556,0.031551701,0.051425227,0.083997622,0,0,0,0.115469732,0,0.25029421,0,0,0,0,0,0,0,0,0.264958578,0,0.193755145,0.152699876,0,0.17468989,0,0,0.054197003,0,0,0.099029136,0.768887787,0,0,0,0,0,0,0,0.138455867,0.194931648,0.34327459,0,0.040845862,0.100067094,0,0,0.12338482,0.160925381,0,0.188824685,0.276094251,0,0.499105633,0.23177091,0.740343285,0,0,0.059382236,0,0.245901645,0,0.517810975,0,0.333087131,0.043396704,0,0,0,0.294186289,0.124417549,0,0,0,0,0,0.277695668,0.059382236,0,0.10829265,0,0.205989716,0,0.042251249,0.104323651,0.185921373,0.173016015,0,0,0,0,0,0,0.111870243,0,0,0,0,0,0.185921373,0,0,0.079361311,0,0,0.152886329,0.151429511,0,0.111909333,0.12338482,0.104803632,0,0,0,0.185921373,0.25029421,0,0,0
"Cardiomyopathy, Dilated",0,0,0.531791998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074753117,0,0.06957264,0,0.084278595,0,0.318954003,0.158230362,0.230373319,0,0,0.072967856,0,0,0,0.230373319,0,0,0.075821216,0,0.081914148,0,0,0.12858653,0,0,0,0,0,0,0,0.1108406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394436394,0,0,0.268253199,0,0,0,0,0,0,0,0,0,0.051237682,0,0,0,0,0,0,0,0.069883308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepacivirus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185964106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spinocerebellar Ataxias,0,0,0,0,0.045044252,0,0,0,1,0.224054716,0.036500524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379021051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123209036,0,0,0,0,0,0.277619956,0,0.02767299,0.167854029,0,0,0,0,0,0,0,0,0,0,0.06644755,0,0,0,0,0,0,0,0,0,0,0,0,0.117411818,0,0,0.050071589,0,0,0,0.074448385,0,0,0,0.029918036,0.112221558,0,0,0,0.102203123,0.149215157,0,0.096644865,0,0.088627714,0,0,0,0.04434623,0.253881802,0,0,0,0,0,0,0,0,0,0,0,0,0.25376848,0,0.062062091,0,0,0,0,0,0,0,0,0,0.169998709,0,0,0.032738475,0,0,0,0,0,0,0,0,0.102661449,0,0,0,0,0.061909766,0
Alzheimer Disease,0,0,0,0,0.06571003,0,0,0,0.224054716,1,0.056650331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442855619,0.24047297,0.103115755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17377844,0,0,0,0,0,0.136865895,0,0.044540863,0.231961204,0,0,0,0,0,0,0,0,0.103115755,0.103115755,0,0.149878366,0.076616926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044819172,0.090246279,0,0,0,0.140052116,0.03757555,0,0,0,0,0,0,0,0,0.343783882,0,0,0,0,0,0,0,0,0,0,0,0,0.20606299,0,0,0,0,0,0.135288019,0,0,0,0,0,0.043614664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
