,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
7SK,0.0003965463501057864,4.235535810848496e-11,1.4763601509606555e-24,5.328858750385305e-97,4.5578641744833396e-33,0.0,9.469944611788313e-25,8.718844296279104e-15,1.452672482060617e-209,7.637413232760867e-21,0.0,7.662592388290644e-19,0.0,0.6182025929622478,0.00017240796888244524,0.0,5.6294228318521994e-39,7.255914060419141e-05,0.000545314036065255,1.6035565072083755e-12,5.096696639863268e-80,9.805665191784969e-06,2.548645409806085e-05,0.0,8.253066366647094e-37,2.1274317311970933e-06,0.00032328722941029145,0.0,6.100661604773001e-21,0.07487500472218381,2.621901978491132e-06,1.546874302074966e-10,3.6444033512686496e-30,4.1581197167736375e-06,4.230871188310822e-06,0.0,0.008664720734429553,0.06219234910539172,0.04119007159260806,0.0,0.0015153880113793657,4.0846967614881517e-13,0.0,0.0010632461005765825,0.0010194115398355556,0.00010377870749134579,2.6158648896324425e-06,2.666871850527028e-134,9.539876388213987e-81,1.1224206702467612,5.365689539526534e-06,0.0,0.0,1.9825974325241114e-23,8.242706799018286e-05,2.3766792266959287e-16,0.6330456528729163,0.019574331163244814,0.8479878557415438,2.2717650684851283e-11,0.02036309047866798,3.628850064096444e-05,0.0,3.1626699187678244e-08,0.24296286702156067,0.06829385459423065,0.14233465492725372,0.23758047819137573,-0.1738031804561615,-0.05945180356502533,0.31737226247787476,-0.3380536437034607,0.43861913681030273,0.17078807950019836,-0.24099966883659363,0.21921080350875854,-0.5924206376075745,-0.24714098870754242,0.1270827054977417,0.16096094250679016,-0.00408582016825676,-0.1012042760848999,-0.2312597632408142,0.040482595562934875,0.07112284004688263,0.030879050493240356,0.5062397122383118,0.812096893787384,0.12946680188179016,0.2941286861896515,-0.08732160925865173,0.050421521067619324,-0.2283695489168167,0.03603629395365715,0.08970561623573303,-0.20869171619415283,-0.5629740953445435,0.27112090587615967,0.11445116251707077,-0.19649073481559753,0.372925728559494,0.016477152705192566,0.5981688499450684,0.2607143521308899,0.03187870979309082,0.010269567370414734,0.5340348482131958,-0.25808340311050415,-0.20898599922657013,-0.14467105269432068,-0.07201726734638214,0.6442564725875854,-0.517148494720459,-0.07456335425376892,-0.1163855493068695,-0.5382683277130127,-0.22544440627098083,-0.6069948077201843,-0.9660474061965942,0.2131415605545044,-0.11017640680074692,-0.10302181541919708,-0.11557898670434952,-0.21650412678718567,-0.008543163537979126,0.22078603506088257,-0.3097507059574127,-0.05092877149581909
ADAMTS9-AS2,0.3403248922246914,2.9980860485242687e-46,3.193597121642123e-05,3.2832025807022313e-54,2.7268590875576534e-32,0.0,2.2265155691238825e-197,1.0808622581758874e-241,1.5037116111933355e-142,1.0405027133063901e-55,0.0,1.7363867438222182e-20,0.0,1.008594450870261e-150,1.2417168476561864e-09,0.0,4.3749482888036434e-103,4.327202623108044e-37,5.891599999212569e-12,1.552732690815158e-19,9.901341586432324e-156,1.0340878987968444e-41,3.317521539341908e-147,0.0,7.9079487002950045e-19,6.135836243254844e-243,0.0,6.581857329769522e-65,3.459021664698667e-23,0.0,6.83312436149635e-33,7.939482022255517e-10,3.965719047610486e-78,0.0,1.2595154833237823e-105,0.0,5.426804821533116e-90,1.6268673168859275e-43,0.0,0.0,2.0269263439750198e-21,2.6967651277707394e-06,0.0,3.732376656724803e-163,1.5164081303784767e-07,1.0902766065814813e-32,4.921528786453057e-15,0.43819435228145337,1.8256720820087637e-06,3.4273420400576607e-07,0.0028224663101125225,0.0,0.0,3.6440566525376165e-107,5.456512990405686e-12,8.140718375027681e-22,5.477730801180966e-74,5.612072006124273e-281,0.0,2.197035369514472e-12,0.0,2.493965439019884e-78,3.802448605131934e-17,2.3493800823042098e-54,0.38258421421051025,-0.13519679009914398,0.03266247361898422,0.0050014411099255085,-0.3465656340122223,0.3110193908214569,0.3278907239437103,0.08509174734354019,0.33418411016464233,-0.18495289981365204,-0.1718040406703949,-0.3581239879131317,-0.25087469816207886,0.11724129319190979,0.01308540441095829,0.1416759490966797,-0.32360634207725525,-0.1068955659866333,-0.29999619722366333,0.06850356608629227,-0.12705186009407043,-0.13089120388031006,0.11521147191524506,0.25071144104003906,0.07833222299814224,0.08717066794633865,0.46044430136680603,0.15801000595092773,-0.3404029607772827,0.05752953514456749,0.17189660668373108,-0.2985216975212097,-0.23921434581279755,0.33132004737854004,0.1272655874490738,0.1583423614501953,0.2565368115901947,0.2395898997783661,-0.11112848669290543,0.15194831788539886,0.10542979091405869,-0.3521455228328705,0.09228384494781494,0.13171342015266418,-0.2177603840827942,-0.3391801714897156,0.1008513942360878,-0.2544950842857361,0.13870152831077576,-0.0807495191693306,0.2530060410499573,0.11242509633302689,-0.22798758745193481,0.1283143162727356,-0.2327067255973816,0.2532859146595001,0.08912206441164017,0.25181883573532104,-0.3674497902393341,0.0022383416071534157,-0.2105255275964737,-0.022138798609375954,0.05232901871204376,0.30760255455970764
ATP6V1G2-DDX39B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2687557422811134e-10,0.0,0.0,4.835866111624755e-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2625483656380918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40258491039276123,-0.1548982411623001,0.04166359081864357,-0.00874650664627552,-0.37738263607025146,0.32646381855010986,0.3604472875595093,0.07428838312625885,0.3647593855857849,-0.19837108254432678,-0.21266423165798187,-0.3726598024368286,-0.27615809440612793,0.12409034371376038,0.01499344501644373,0.09916132688522339,-0.3461250364780426,-0.07432802766561508,-0.31833595037460327,0.050834640860557556,-0.123989038169384,-0.10880239307880402,0.10620792210102081,0.24858178198337555,0.06907550245523453,0.09315602481365204,0.4678201973438263,0.14535078406333923,-0.36332595348358154,0.06165837123990059,0.15344606339931488,-0.32965731620788574,-0.23990002274513245,0.3499017357826233,0.16719138622283936,0.15612755715847015,0.25752079486846924,0.2598358392715454,-0.11281338334083557,0.1652698963880539,0.08646173030138016,-0.36292654275894165,0.08206887543201447,0.13489973545074463,-0.2245078682899475,-0.3529607057571411,0.14466197788715363,-0.27038466930389404,0.14554651081562042,-0.06643479317426682,0.2614727020263672,0.10834240913391113,-0.24360956251621246,0.1144721657037735,-0.2347537875175476,0.2659466564655304,0.09925626218318939,0.2645912766456604,-0.39199990034103394,-0.03916546702384949,-0.1906033307313919,-0.016484299674630165,0.03949056938290596,0.31195080280303955
ATXN8OS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974762281507786,0.3962692618370056,-0.1475633978843689,0.07453896850347519,-0.03686767444014549,-0.38391783833503723,0.3253703713417053,0.3671838045120239,0.011119041591882706,0.32983899116516113,-0.22313609719276428,-0.20804744958877563,-0.38363683223724365,-0.27391812205314636,0.09464199841022491,0.017271284013986588,0.1015443205833435,-0.36143916845321655,-0.08228270709514618,-0.3318958580493927,0.024718035012483597,-0.14385642111301422,-0.10452049970626831,0.0946090817451477,0.23075413703918457,0.02684534154832363,0.08496864140033722,0.4294195771217346,0.145467609167099,-0.36874860525131226,0.08648623526096344,0.13632036745548248,-0.3477827310562134,-0.20879873633384705,0.36304163932800293,0.18078890442848206,0.16144029796123505,0.22036777436733246,0.2776404917240143,-0.1271001547574997,0.1754988133907318,0.10399439185857773,-0.3639998137950897,0.1095351129770279,0.11125718802213669,-0.18257352709770203,-0.372013658285141,0.08284644782543182,-0.2322235256433487,0.12157395482063293,-0.08837858587503433,0.2670372426509857,0.06083017587661743,-0.23870165646076202,0.1018068939447403,-0.21698424220085144,0.26982975006103516,0.09915193915367126,0.2698511481285095,-0.3984921872615814,-0.07254987210035324,-0.14149148762226105,0.014918881468474865,0.04664544761180878,0.2774365246295929
BACE1-AS,0.0009630931945393085,5.833788612498749e-41,2.7078892429358336e-25,1.1448480234291842e-136,1.998008869054257e-08,0.0,0.0,5.115391366729405e-14,0.0,1.702143116093382e-44,0.0,0.27401474810312093,0.0,1.9302938619442372e-21,1.7924312950511048e-14,0.0,1.3453141975889739e-11,0.016696023153301882,2.8890242870998747e-50,2.8121963263725404e-24,1.284338947401,0.0064492046579242715,3.9521997144550546e-47,0.0,6.281511418092199e-115,8.799876416429058e-14,5.8658861090800405e-59,4.1288938791860807e-50,2.1737222176175494e-57,4.440535480630016e-93,4.673106017131372e-07,0.0,1.0190791624575867e-27,2.632067647231392e-287,1.9541451992099894e-08,0.0,0.02008980171939581,1.864846579484587e-12,1.4365192102164191e-09,0.0,1.1456727609989484e-94,0.0,0.0,1.720484754211062e-20,0.0,0.0010039207200328833,2.8767404495265035e-24,4.2789345883935286e-234,1.5115537327530736e-20,8.373254303918936e-15,5.738596327253179e-201,0.0,0.0,0.04140055147271227,0.5853217861062971,3.3852689618791264e-14,5.944883512338674e-25,1.764131536561324e-151,7.158726977670994e-168,1.08773885858077e-09,0.03644936188218555,1.8790485662622394e-13,4.1969749968951285e-05,8.591899329520447e-10,0.34358108043670654,-0.28496095538139343,-0.21837443113327026,-0.755111575126648,-0.42908820509910583,0.10526496171951294,0.015496738255023956,-0.10493002831935883,0.26094651222229004,0.12591418623924255,-0.5589298009872437,0.11084633320569992,-0.2631319463253021,-0.1007784754037857,0.27513283491134644,-0.6340701580047607,0.20276379585266113,0.2216518074274063,0.08900664746761322,-0.15844085812568665,0.13377541303634644,0.7168020606040955,-0.08137021958827972,0.03332483395934105,-0.5398241877555847,0.4799051880836487,0.06533616781234741,-0.0036688856780529022,-0.21269312500953674,-0.29769909381866455,-0.7274719476699829,-0.14961421489715576,-0.04830140247941017,-0.218390092253685,0.4705810546875,-0.05025060474872589,0.17770543694496155,-0.6617613434791565,0.06171637773513794,0.42358118295669556,-0.551985502243042,0.009081631898880005,-0.524046003818512,0.10261434316635132,0.3085040748119354,-0.20942121744155884,0.7085037231445312,0.12276997417211533,0.34765562415122986,0.2628616392612457,0.36512309312820435,-0.3027709126472473,0.20122845470905304,0.01825861446559429,0.04936901107430458,0.3283495604991913,-0.17225471138954163,0.48590391874313354,-0.44204503297805786,-0.13432447612285614,0.479942262172699,-0.08995581418275833,-0.042264241725206375,0.13227251172065735
BANCR,0.036363327039765164,0.0023423778336404437,9.14921261785318e-07,0.0009298090246352207,0.0005415165574145119,0.0,0.8717484704187496,0.10849703998793012,0.00920450910275794,4.0785712140011005e-06,0.0,0.0005572995743061256,0.0,4.623684129898264e-09,0.011858474066160321,0.0,0.004244074176647115,0.0006751638378610801,0.0221964625826537,0.000702171614024402,0.007183426228713946,0.06637861895716646,0.018349769554858248,0.0,1.2784924256535258e-10,0.06052734026832316,0.8144829717362317,5.847764884247111e-12,0.0008110680099203107,0.00037513028477784827,0.12864954566081743,0.04105984243202734,0.0918081639182356,9.117356241386545e-05,0.015354450724210331,0.0,0.1214880825080695,0.10807286811464883,0.2896740758994035,0.0,0.004799109229403073,0.00973674076735609,0.0,0.0005219435167775283,0.003026534202200033,0.17390821829792721,3.563343389662998e-05,1.048269028232456e-11,0.005890741338176537,0.3617824188756808,0.0009223677673334908,0.0,0.0,0.005372589948573991,0.032998731577824535,4.064568000028322e-06,0.0016847358961880824,0.03384804375464116,0.0004449636376885088,0.002499174715959599,0.35867826024890265,0.014385287205130824,1.1479974986781436,0.00016944939629922026,-0.46151021122932434,-0.21875903010368347,0.13919639587402344,-0.22228704392910004,-0.9134193658828735,-0.9170868992805481,0.2238972783088684,0.24158424139022827,0.2705104947090149,0.09182778000831604,-0.06186647713184357,-0.07760024070739746,-0.654460608959198,0.8641318082809448,0.6357495784759521,-0.3214484751224518,-0.3753631114959717,-0.15718770027160645,0.44619810581207275,-0.5987650156021118,0.1491541564464569,-0.011576682329177856,0.21405157446861267,0.2896775007247925,-0.031916677951812744,-0.1919528990983963,-0.1331005096435547,0.6923750638961792,0.13745369017124176,0.26943451166152954,-0.22242248058319092,-0.41429463028907776,-0.7182295322418213,0.2754214406013489,-0.5948690176010132,0.10401231050491333,-0.38297519087791443,-0.04404965043067932,-0.39983195066452026,-0.9584037065505981,0.3813037872314453,0.5692834854125977,-0.8164790868759155,-0.8566974401473999,-0.02673378586769104,0.5739664435386658,-0.22430925071239471,-0.16633249819278717,-1.1658025979995728,0.29754143953323364,-0.733956515789032,-0.347628653049469,-0.07021975517272949,0.3392086625099182,-0.17742618918418884,-0.22200971841812134,-0.12571114301681519,-0.06985543668270111,-0.5142128467559814,-0.04527480900287628,0.004002787172794342,-0.20134007930755615,-0.478083997964859,-0.10285545885562897
BC040587,0.0010706313182482895,9.802368200145296e-33,1.2340153197633513e-11,5.442166907921666e-05,7.233676651659446e-08,0.0,7.770996998535774e-20,0.00020923476775040688,0.3952436216991314,3.0618611939471404e-17,0.0,2.483509776846903e-26,0.0,3.867404134639755e-12,5.00523633264704e-10,0.0,3.4050102769771967e-11,0.003470341809247378,5.4948698806189125e-08,1.0787092553155975e-09,2.270735986672876e-182,5.71551808703828e-10,3.110398117528965e-05,0.0,0.0,0.3407423436711981,0.35400722772329046,8.070467977718428e-55,4.4590604623953706e-06,5.835510118024026e-156,8.44144956903111e-09,6.431773264708271e-10,1.6354472371275464e-26,1.1469860825789352e-22,2.069569125571625e-18,0.0,0.11668763689626525,0.0013705945229982365,9.686035963319663e-16,0.0,2.2732407052741793e-21,2.428860995380157e-13,0.0,1.7604838494715455e-41,1.0985673505536913e-07,0.004155093245971515,3.4331283190097287e-85,5.730454431003336e-168,0.00048688406798526237,0.2450637738382908,3.222762881732953e-219,0.0,0.0,3.936554183028397e-06,3.09401317472417e-262,1.0365413842558424e-11,2.69174555112359e-70,2.8409720531787135e-45,0.01793925973231921,7.98612828390017e-17,0.0005991942154422828,1.6985194111233187e-21,1.2599809007433616e-06,2.8719180768521517e-12,0.37669509649276733,-0.24338218569755554,0.24443870782852173,-0.10845421999692917,-0.4643237292766571,0.3699471950531006,0.4537961184978485,-0.18423548340797424,0.26036718487739563,-0.31168270111083984,-0.2780584990978241,-0.46368780732154846,-0.34554606676101685,0.0002195793204009533,-0.01962832733988762,0.03836413472890854,-0.4167592227458954,0.020558247342705727,-0.40474164485931396,-0.10347630828619003,-0.25792092084884644,-0.03961311653256416,0.06838997453451157,0.15925121307373047,-0.15922869741916656,0.07701564580202103,0.2957916855812073,0.1875915676355362,-0.37837156653404236,0.27217239141464233,0.07683324813842773,-0.4326398968696594,-0.14777466654777527,0.411115825176239,0.2868352234363556,0.15633231401443481,0.045691195875406265,0.42618072032928467,-0.18544843792915344,0.2211562693119049,0.1150854155421257,-0.3601140081882477,0.21484149992465973,-0.005819752346724272,-0.03538640961050987,-0.5078307390213013,-0.005014043767005205,-0.15543116629123688,0.10989172756671906,-0.13624024391174316,0.30720287561416626,-0.1211124137043953,-0.1893204301595688,-0.05023936927318573,-0.17363964021205902,0.26828065514564514,0.13895514607429504,0.36007049679756165,-0.48003795742988586,-0.156464621424675,0.07049717754125595,0.17297808825969696,0.07727956026792526,0.24743252992630005
BCAR4,0.025813208946703824,1.1897553764956269e-31,1.3861225511535589e-11,0.00042729338361170667,6.331150861535028e-10,0.0,2.185357171950254e-09,1.0659264404449982e-05,0.34137381518981413,8.776712798851453e-10,0.0,3.783828721592489e-05,0.0,1.6465797029281535e-13,6.050749839143922e-09,0.0,5.857891552385397e-11,0.007150067605929295,0.02800643975856006,4.720653485555542e-10,4.150096904472219e-182,0.0003421480788676177,5.359806467067703e-05,0.0,1.0288681910234149e-145,0.4036138827302296,0.2245183714165714,1.8741106055790294e-19,3.0782335569962115e-05,1.7610818576496932e-152,3.968617668584484e-09,7.259927436786714e-05,1.3438860425551854e-16,2.087685745221146e-22,7.583020412065226e-07,0.0,0.5277076734603267,0.011897993377574826,0.00019841396130181556,0.0,5.784503671216213e-11,0.0003687836943998679,0.0,7.274112830743342e-18,0.0012979706261269926,0.0001276205217185953,4.7038049076219506e-20,2.0567524343571305e-15,0.0033704081470203803,0.02249057668978458,9.405468449887938e-47,0.0,0.0,0.002500118294721536,1.2739622526701673e-10,0.0,1.3165412049328271e-21,6.785211157547359e-09,0.07876051958988542,1.7539700294279167e-16,0.0033106552700635215,0.0013158302668768195,1.541052217608332e-05,2.692536796768668e-05,0.27881044149398804,-0.5645618438720703,0.5453110933303833,-0.21603214740753174,-0.5946499109268188,0.3878706693649292,0.45941001176834106,-0.44689545035362244,0.0035285260528326035,-0.4537437856197357,-0.3415243625640869,-0.6242884397506714,-0.5316382050514221,-0.20887956023216248,-0.1774495244026184,0.10755595564842224,-0.46050477027893066,0.16156327724456787,-0.5318593382835388,-0.24336139857769012,-0.4608360826969147,-0.0837583839893341,0.1410711258649826,0.07351262867450714,-0.5405370593070984,0.005840525031089783,0.0013315938413143158,0.42162030935287476,-0.3228505849838257,0.7326220870018005,0.03319071605801582,-0.4562089443206787,-0.2245703935623169,0.4542611241340637,0.2890041768550873,0.19301889836788177,-0.2879665791988373,0.5804075598716736,-0.3969987630844116,0.2153180092573166,0.4045126438140869,-0.25269192457199097,0.49993497133255005,-0.36318719387054443,0.34992098808288574,-0.8224795460700989,-0.17534476518630981,-0.02754790149629116,0.02310703881084919,-0.2787255346775055,0.41989561915397644,-0.5340779423713684,0.10616700351238251,-0.33210325241088867,-0.206349715590477,0.12307868897914886,0.13578903675079346,0.5366553664207458,-0.6872282028198242,0.03429628163576126,0.3646312654018402,0.44725045561790466,0.18193601071834564,0.29884955286979675
BCYRN1,0.4122058851559611,1.814373939298699e-05,0.0017138557314822808,0.00031906910466248485,0.34670223777241377,0.0,2.3089281671038807e-05,0.0006912507481492362,1.1890892548069194e-22,5.5453955005555726e-08,0.0,0.054326820245640645,0.0,2.1696708177915897e-07,0.007338337820321776,0.0,0.006365589875363292,0.006250088521106789,0.002045898224724468,0.00019267944661002087,0.013535799920609342,0.16507030367264858,0.020392910301339225,0.0,1.342751649301097e-06,0.0018269679539361862,0.0365520615353376,7.896683412171182e-05,2.0057641102416358e-05,0.00016189188519177838,2.5657327600157216,0.00587144444730525,7.813044237186539e-05,1.3993989722664846e-16,0.018879625316911536,0.0,0.0024380151680302204,0.04919063923320509,0.18978921077672872,0.0,9.471438809034971e-05,0.0005990583531497192,0.0,0.0013032492447949606,0.21049563314501382,0.12136196448348545,1.8072340213009385e-05,0.05574339863853078,0.028737350355672594,0.37882588124846756,0.009337179623158325,0.0,0.0,0.006395443695859763,0.09493252882502491,0.0001395189368407903,0.0007861923904160017,0.00018974696589142104,9.818220473319787e-05,0.004149880781851129,0.3153303132111679,0.0009652099791607391,0.031178591781123807,8.162424874889648e-05,0.04465502128005028,0.05109420791268349,0.23162837326526642,0.5575371980667114,-0.5244333744049072,-0.03391573578119278,0.7774858474731445,0.8502334356307983,0.9186698198318481,0.029934018850326538,-0.13366076350212097,-0.5157946348190308,-0.32219457626342773,0.1513422280550003,0.07830274105072021,1.0461921691894531,-0.13910798728466034,-0.31253013014793396,0.318678617477417,-0.20304973423480988,-0.9359445571899414,0.728696882724762,-0.29302725195884705,0.08589828014373779,-0.6549171209335327,0.2823331356048584,0.37119948863983154,0.24115954339504242,0.26902830600738525,0.24741524457931519,-0.7403306365013123,0.00648614764213562,0.3165630102157593,0.11920571327209473,-0.37847405672073364,0.0110226571559906,-0.3051132559776306,-0.12910234928131104,-0.052502378821372986,-0.1734870970249176,-0.3470945656299591,0.058486104011535645,-1.0833405256271362,0.08062568306922913,-0.012382961809635162,-0.12889792025089264,-0.6682099103927612,-0.11534607410430908,0.15658783912658691,0.36320939660072327,0.5365279316902161,-1.224711537361145,-0.4184398353099823,-0.7403098344802856,-0.10895326733589172,-0.436469703912735,-0.22701194882392883,0.6573566198348999,-0.5557324290275574,0.41880303621292114,0.07588014006614685,0.10043176263570786,-0.402147114276886,0.06495094299316406
BDNF-AS,0.0,0.0,0.0,0.0,0.0,0.0,7.213203230689955e-237,3.2058816534478802e-158,1.4218106648606197,0.04785631497756112,0.0,0.0011618703314009709,0.0,0.0,0.058580660321766016,0.0,0.0,0.08924527475695485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3255200880531078e-57,0.0,0.0,9.50350816936276e-08,0.8340711152051924,0.0,0.0,0.0,0.0,0.0,0.0016691029097073476,0.0,0.0,0.0,0.0,0.0,0.0,6.778480264782494e-15,0.0,0.0,3.335188741984226e-09,0.0,1.1645576584509628e-221,0.060279434851615216,0.0,0.0,0.0,2.940923741677943e-47,0.0,1.8425460489187314e-145,1.0873861982036104e-67,0.0,0.0,0.0,0.0,0.0,6.799681766862642e-20,1.4405445768692827e-36,0.6156132221221924,-0.4014780521392822,0.39631783962249756,-0.08266425132751465,-0.10005678236484528,0.06407597661018372,0.226044163107872,0.06959913671016693,-0.03801973536610603,-0.4858502447605133,0.10879477858543396,-0.31938794255256653,-1.0075666904449463,-0.46995699405670166,0.31506186723709106,0.6356319785118103,-0.026839537546038628,0.13731426000595093,0.03513443470001221,-0.4703028202056885,-0.7518841028213501,0.33585092425346375,-0.23340536653995514,-0.02663050964474678,0.13627418875694275,0.018967654556035995,0.37956303358078003,-0.08317548036575317,-0.6477474570274353,0.24837371706962585,-0.7531830072402954,-0.37747353315353394,0.20192784070968628,0.27971309423446655,-0.02831088751554489,0.1774657964706421,-0.3104599118232727,0.2606438398361206,0.43317991495132446,0.5032976269721985,0.6242136359214783,0.04470164328813553,0.7688570618629456,-0.023175489157438278,0.5793811082839966,-0.4996524453163147,0.3141954243183136,-0.09484314173460007,0.05827653408050537,-0.18413101136684418,0.5676091909408569,-0.2242954671382904,0.0019527319818735123,0.07678388059139252,-0.07329417765140533,0.5604250431060791,0.45840078592300415,0.5123173594474792,-0.15019406378269196,0.6316492557525635,0.11252973973751068,0.14236262440681458,-0.34343522787094116,0.03865152224898338
