,Acquired Immunodeficiency Syndrome,Glioma,"Carcinoma, Non-Small-Cell Lung",Urinary Bladder Neoplasms,Lymphoma,Stomach Neoplasms,Thyroid Neoplasms,Uterine Cervical Neoplasms,"Cardiomyopathy, Dilated",Alzheimer Disease,Colonic Neoplasms,"Myositis, Inclusion Body",Ovarian Neoplasms,Prostatic Neoplasms,Huntington Disease,Lung Neoplasms,Breast Neoplasms,Neoplasms,Melanoma,Schizophrenia,"Carcinoma, Hepatocellular",Neuroblastoma,Colorectal Neoplasms,Eosinophilic Esophagitis,Osteosarcoma,"Thyroid Cancer, Papillary",Retinoblastoma,"Carcinoma, Squamous Cell",Glioblastoma,Astrocytoma,Esophageal Neoplasms,Tongue Neoplasms,Aging,Seizures,Mental Disorders,Depression,Testicular Neoplasms,Endometrial Neoplasms,"Carcinoma, Renal Cell",Carcinoma,Wilms Tumor,"Diabetes Mellitus, Type 2",Gallbladder Neoplasms,"Leukemia, Myeloid, Acute",Adenocarcinoma of Lung,Pancreatic Neoplasms,"Intracranial Hemorrhage, Hypertensive",Stroke,"Stroke, Lacunar",Peripheral Arterial Disease,"Glaucoma, Open-Angle",Intracranial Aneurysm,Leukemia,Cardiovascular Diseases,Carotid Stenosis,Glaucoma,Atherosclerosis,"Carcinoma, Basal Cell",Endometriosis,Coronary Artery Disease,Aortic Aneurysm,"Neurofibroma, Plexiform",Myocardial Infarction,"Aortic Aneurysm, Abdominal",Periodontitis,Neurofibromatosis 1,Diabetes Mellitus,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Frailty,Neurofibromatoses,Primary Myelofibrosis,Hypertension,Heart Failure,Medulloblastoma,"Leukemia, Lymphocytic, Chronic, B-Cell","Osteoporosis, Postmenopausal",Bone Diseases,Bipolar Disorder,Panic Disorder,DiGeorge Syndrome,Autism Spectrum Disorder,"Depressive Disorder, Major",Psychotic Disorders,Mood Disorders,"Leukemia, Lymphoid",Kidney Neoplasms,"Lymphoma, B-Cell","Leukemia, T-Cell",Multiple Myeloma,"Lupus Erythematosus, Systemic","Lymphoma, Mantle-Cell",Osteoarthritis,Liver Cirrhosis,Head and Neck Neoplasms,"Carcinoma, Ovarian Epithelial",Hematopoiesis,Hydatidiform Mole,Marek Disease,Neural Tube Defects,Pheochromocytoma,Congenital Hyperinsulinism,Pre-Eclampsia,Prader-Willi Syndrome,Hyperprolactinemia,Silver-Russell Syndrome,Adenocarcinoma,"Neoplasms, Germ Cell and Embryonal",Meningioma,Liver Neoplasms,Gestational Trophoblastic Disease,Choriocarcinoma,Pituitary Neoplasms,Adrenocortical Carcinoma,Trophoblastic Neoplasms,Infertility,Beckwith-Wiedemann Syndrome,"Arthritis, Rheumatoid","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Polycythemia Vera,Hyperhomocysteinemia,Obesity,Fibrosis,Rhabdomyosarcoma,Insulinoma,"Infarction, Middle Cerebral Artery","Carcinoma, Embryonal",Parkinson Disease,"Heart Defects, Congenital",Pneumoconiosis,"Colitis, Ulcerative",Diabetic Cardiomyopathies,"Aortic Aneurysm, Thoracic",Ependymoma,Sarcoma,Heart Diseases,Hepatitis C,Squamous Cell Carcinoma of Head and Neck,Gastrointestinal Stromal Tumors,Asthenozoospermia,Cerebrovascular Disorders,Multiple Sclerosis,Sjogren's Syndrome,"Thyroiditis, Autoimmune","Diabetes Mellitus, Type 1",Narcolepsy,Fibroma,Fibrosarcoma,Uterine Neoplasms,"Sarcoma, Endometrial Stromal","Carcinoma, Endometrioid",Hyperglycemia,HIV,"Vitreoretinopathy, Proliferative",Congenital Microtia,Retinal Degeneration,Amyotrophic Lateral Sclerosis,Familial Primary Pulmonary Hypertension,Hemangioma,Heroin Dependence,Myelodysplastic Syndromes,Metabolic Syndrome,"Purpura, Thrombocytopenic",Liver Diseases,Substance-Related Disorders,Diabetic Retinopathy,Myopia,"Leukemia, Myeloid",Syndrome,Psoriasis,Diabetic Nephropathies,Plasmacytoma,Hodgkin Disease,Burkitt Lymphoma,Cleft Lip,Cardiomegaly,"Leukemia, Promyelocytic, Acute",Asthma,Spinocerebellar Ataxias,Cardiomyopathies,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,"Anemia, Aplastic",Dyskeratosis Congenita,"Multiple Sclerosis, Relapsing-Remitting",Hepatoblastoma,"Renal Insufficiency, Chronic",Prostatic Hyperplasia,Lithiasis,"Epilepsy, Temporal Lobe",Neurodegenerative Diseases,Klinefelter Syndrome
Acquired Immunodeficiency Syndrome,1,0,0,0,0.056951385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048058216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048039002,0,0,0,0,0,0,0.042939826,0,0,0,0,0,0,0,0,0,0.055321607,0,0.043488916,0.048039002,0.043386128,0.082071451,0.043488916,0,0,0,0,0,0,0.119056677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067586216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155713272,0,0,0,0,0.051537023,0.043263603,0.079459003,0.074371575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082600162,0,0,0,0,0,0,0,0,0.05961621,0.048979983,0.097963873,0,0,0,0.043644488,0,0,0.042939826,0,0,0.044944598,0,0,0,0,0,0,0
Glioma,0,1,0.031551701,0.040845862,0.194931648,0.043206775,0.054197003,0.033496715,0,0,0.031089556,0,0.043193212,0.043198289,0,0.044809564,0.080809149,0.266210956,0.398066674,0,0.1734686,0.517810975,0.031254956,0,0.118560704,0.144989721,0.497715677,0.25029421,0.740343285,0.84431607,0.049757585,0.04320008,0,0,0,0,0.045221769,0.036619755,0.156019653,0.369522562,0.124417549,0,0.043206775,0.139719641,0.178653715,0.051425227,0,0,0,0,0,0,0.264958578,0,0,0,0,0.25029421,0,0,0,0.17468989,0,0,0,0.124884917,0,0.115469732,0,0.152699876,0,0,0,0.768887787,0.099029136,0,0,0,0,0,0,0,0,0,0.138455867,0.040845862,0.12338482,0.115469732,0.104323651,0,0.12338482,0,0,0.100067094,0.173016015,0,0.188824685,0,0,0.333087131,0,0,0,0,0,0.277695668,0.499105633,0.245901645,0.059382236,0.23177091,0.276094251,0.043396704,0.160925381,0.294186289,0,0,0,0.111870243,0.042247867,0,0,0,0.104803632,0.174315571,0,0.34327459,0,0,0,0,0,0,0.84431607,0.185921373,0,0,0.205989716,0.10829265,0,0,0,0,0,0,0,0.111907935,0.118560704,0.042251249,0.127872808,0.133134259,0,0,0,0,0,0,0,0.185921373,0,0,0,0,0,0,0,0,0.185921373,0,0,0,0.151429511,0.152886329,0.079361311,0,0,0.111909333,0,0,0,0.099029136,0,0,0,0.185921373,0,0,0,0,0,0
"Carcinoma, Non-Small-Cell Lung",0,0.031551701,1,0.074834189,0.060414356,0.079117447,0.108993972,0.055357828,0,0,0.046310002,0,0.087034621,0.079101126,0,0.704034697,0.175421231,0.241103705,0.041885583,0,0.071060383,0.018996465,0.051685208,0,0.030956074,0.066847182,0.059629763,0.032859837,0.018996465,0.024021984,0.100145343,0.079106246,0,0,0,0,0.091089132,0.060465574,0.049044168,0.053179364,0.073130403,0,0.079117447,0.03641352,0.338880314,0.103469859,0,0,0,0,0,0,0.081833474,0,0,0,0,0.032859837,0,0,0,0.02332524,0,0,0,0.032454327,0,0.030156432,0,0.046511232,0,0,0,0.021897272,0.023318025,0,0,0,0,0,0,0,0,0,0.039729488,0.074834189,0.032200582,0.030156432,0.03000441,0,0.032200582,0,0,0.216679431,0.060340445,0,0.032688171,0,0,0.019611202,0,0,0,0,0,0.03641352,0.081833474,0.070845897,0.119310186,0.044844813,0.037679307,0.087441476,0.050574966,0.06252877,0,0,0,0.029226239,0.077378682,0,0,0,0.024663422,0.054741426,0,0.053179364,0,0,0.15149613,0,0,0,0.024021984,0.053179364,0,0,0.112349672,0.02830008,0,0,0,0,0,0,0,0.026315309,0.030956074,0.077384816,0.036718915,0.041902767,0,0,0,0,0,0,0.185137973,0.053179364,0,0,0,0,0,0,0,0,0.053179364,0,0,0,0.043414256,0.043826713,0.018725816,0,0,0.026315961,0.15165256,0,0,0.023318025,0,0,0,0.053179364,0,0,0,0,0,0
Urinary Bladder Neoplasms,0,0.040845862,0.074834189,1,0.066457233,0.102945407,0.129525101,0.240196585,0,0,0.073850066,0,0.267714175,0.267888363,0,0.106369837,0.191332282,0.225460399,0.04969838,0,0.093327045,0.030050089,0.075315817,0,0.04014663,0.088225377,0.079368116,0.042370659,0.030050089,0.034356721,0.119871432,0.102931327,0,0,0,0,0.245944089,0.260265616,0.44240311,0.061604366,0.420946841,0,0.102945407,0.046454496,0.081174552,0.123515549,0,0,0,0,0,0,0.087281464,0,0,0,0,0.042370659,0.164185089,0,0,0.033456003,0,0,0,0.039306322,0,0.039205409,0,0.052226887,0,0,0,0.031593734,0.033446649,0,0,0,0,0,0,0,0,0,0.04735944,0.603260341,0.041604703,0.039205409,0.03653336,0,0.041604703,0,0,0.231104668,0.210716096,0,0.077209,0,0,0.030920913,0,0.06274071,0,0,0,0.046454496,0.087281464,0.093192163,0.140606912,0.094539834,0.080667674,0.105765495,0.073825975,0.119959855,0.227921896,0,0,0.038103372,0.100884826,0,0,0,0.035180462,0.079387294,0,0.061604366,0,0,0,0,0,0,0.034356721,0.061604366,0,0,0.133149897,0.037000817,0.061631765,0,0,0,0,0,0,0.037284375,0.04014663,0.302161104,0.156510433,0.185729517,0,0,0,0,0,0,0,0.061604366,0,0,0,0,0,0,0,0,0.061604366,0,0,0.260290462,0.051343609,0.05178629,0.027378335,0,0,0.037284877,0,0,0,0.033446649,0,0,0,0.061604366,0.251681694,0.077495827,0,0,0,0.116458308
Lymphoma,0.056951385,0.194931648,0.060414356,0.066457233,1,0.069993941,0.079390369,0.059808078,0,0,0.059603789,0,0.064275685,0.069981943,0,0.072376655,0.105999769,0.280368717,0.213642023,0,0.156686306,0.170345561,0.056089475,0.094670997,0.191509525,0.141423927,0.142126188,0.202388977,0.170345561,0.180161108,0.073349332,0.069983291,0,0,0,0,0.067098176,0.064926964,0.141381786,0.266293452,0.177416936,0,0.069993941,0.222442144,0.160323818,0.075628311,0,0,0,0,0,0,0.340757809,0,0,0,0,0.202388977,0,0,0,0.175321407,0,0,0,0.137848828,0,0.600040712,0,0.154474691,0.063168088,0,0,0.165335486,0.54626792,0,0,0,0,0.100256898,0,0,0,0,0.67597771,0.066457233,0.77110409,0.600040712,0.435126422,0.091706792,0.77110409,0,0,0.128694243,0.143735282,0,0.188258594,0.386599767,0,0.175409172,0,0,0,0,0,0.222442144,0.340757809,0.196177921,0.086351449,0.20739081,0.176324224,0.064559564,0.145518693,0.235399202,0,0,0.073988166,0.233121345,0.12014361,0,0,0,0.184586996,0.156728412,0,0.266293452,0,0,0,0,0,0,0.180161108,0.266293452,0,0,0.184868775,0.176172579,0,0,0.057564966,0.046602931,0.088457133,0.082197745,0,0.195930171,0.191509525,0.068565972,0.188896429,0.121848829,0,0,0,0,0,0,0,0.266293452,0,0.079485099,0,0.130965587,0,0,0,0,0.266293452,0,0,0,0.561938609,0.865005464,0.554451132,0,0,0.195930809,0.04789143,0,0,0.54626792,0.072156426,0,0.050305096,0.266293452,0,0,0,0,0,0
Stomach Neoplasms,0,0.043206775,0.079117447,0.102945407,0.069993941,1,0.136426623,0.08439771,0,0,0.40214593,0,0.109826529,0.108573445,0,0.112410883,0.202455138,0.244932325,0.052390997,0,0.25462005,0.031885422,0.407233001,0.113487852,0.04242504,0.092342049,0.082684367,0.044916432,0.031885422,0.036410081,0.529656998,0.108578013,0,0,0,0,0.114770598,0.09185201,0.075108458,0.065795686,0.095423659,0,0.282304041,0.049532348,0.085476061,0.337365629,0,0,0,0,0,0,0.093484845,0,0,0,0,0.044916432,0,0,0,0.035400096,0,0,0,0.04097238,0,0.041375502,0,0.054386802,0,0,0,0.033321896,0.035389624,0,0,0,0,0,0,0,0,0,0.04979841,0.102945407,0.044056903,0.041375502,0.037968012,0,0.044056903,0,0.111240816,0.247530037,0.083638979,0,0.044694514,0,0,0.032867472,0.072366379,0,0,0,0,0.049532348,0.093484845,0.097817775,0.386759888,0.05593305,0.047324262,0.110323318,0.07736732,0.072342881,0,0,0,0.040149912,0.10630351,0,0,0,0.037336381,0.217054921,0,0.065795686,0,0,0,0.138711944,0,0,0.036410081,0.065795686,0,0.053107805,0.140453912,0.467103885,0,0,0,0,0,0,0,0.039714692,0.04242504,0.106311596,0.046160101,0.064499651,0,0,0,0,0,0,0,0.065795686,0,0,0,0,0.162681646,0,0,0,0.065795686,0,0,0,0.054222576,0.054716725,0.028666887,0,0,0.039715208,0,0,0,0.035389624,0,0,0,0.065795686,0,0,0,0,0,0
Thyroid Neoplasms,0,0.054197003,0.108993972,0.129525101,0.079390369,0.136426623,1,0.111637626,0,0,0.107527728,0,0.342965229,0.136402464,0,0.141077753,0.229042513,0.25212328,0.062451951,0,0.123397846,0.043838048,0.104689045,0,0.053245026,0.716102988,0.104594602,0.056273526,0.043838048,0.047973832,0.298742319,0.271110905,0,0,0,0,0.358039487,0.121203641,0.099651635,0.077864317,0.11673685,0.11663597,0.136426623,0.061856748,0.113022593,0.403604046,0,0,0,0,0,0,0.105049504,0,0,0,0,0.056273526,0,0,0,0.046683573,0,0,0,0.049147233,0.1492787,0.051966605,0,0.062075155,0,0,0,0.044021605,0.046670183,0,0,0,0,0.052577372,0,0,0,0,0.059445142,0.129525101,0.055231052,0.051966605,0.045616328,0,0.055231052,0,0,0.552830944,0.275451308,0,0.056005665,0,0,0.045143291,0,0,0,0.094837046,0,0.061856748,0.105049504,0.123345354,0.176983803,0.066547287,0.056568671,0.344481305,0.267112923,0.081978116,0,0,0,0.050470156,0.133630401,0,0,0,0.049154506,0.287705375,0,0.077864317,0,0,0,0,0.085887985,0,0.047973832,0.077864317,0,0,0.332644705,0.048976108,0,0,0,0,0.231147159,0.101289066,0,0.052179136,0.053245026,0.13364028,0.055211216,0.138830026,0,0,0,0,0,0,0,0.077864317,0,0,0,0,0,0,0.068557966,0,0.077864317,0,0,0.081442607,0.064571068,0.065142738,0.038024668,0,0,0.052179541,0,0,0,0.046670183,0,0,0,0.077864317,0,0,0,0,0,0.071731944
Uterine Cervical Neoplasms,0,0.033496715,0.055357828,0.240196585,0.059808078,0.08439771,0.111637626,1,0,0,0.054623711,0,0.379037728,0.167710919,0,0.087223083,0.17227425,0.216382437,0.042838881,0,0.076470698,0.022237649,0.058532385,0,0.032920234,0.072269635,0.064981855,0.034755512,0.022237649,0.026729976,0.103273557,0.0843866,0,0,0,0,0.163274755,0.649170405,0.166990563,0.053174848,0.176295359,0,0.08439771,0.038128698,0.06311275,0.106429475,0,0,0,0,0,0,0.078688251,0,0,0,0,0.034755512,0.280672371,0,0,0.026024897,0,0,0,0.033839013,0,0.032143521,0,0.04694445,0,0,0,0.02456786,0.026017576,0,0,0,0,0,0,0,0,0,0.04081172,0.240196585,0.034122496,0.032143521,0.03144302,0,0.034122496,0,0,0.20835148,0.287530256,0,0.061851576,0,0,0.02288672,0,0.054157013,0,0,0,0.038128698,0.078688251,0.076288032,0.121247121,0.079763085,0.06799808,0.091064176,0.057369391,0.106022241,0.241667954,0,0,0.031235205,0.082698748,0,0,0,0.02737549,0.061713215,0,0.053174848,0,0,0,0,0,0,0.026729976,0.053174848,0,0,0.114780021,0.030326201,0,0,0,0,0,0,0,0.029023863,0.032920234,0.794308471,0.381239473,0.356049473,0,0,0,0,0,0,0,0.053174848,0,0,0,0,0,0,0,0,0.053174848,0,0,0.082346445,0.044265461,0.04464893,0.021273162,0,0,0.029024429,0,0,0,0.026017576,0,0,0,0.053174848,0.075605418,0,0,0,0,0.056180831
"Cardiomyopathy, Dilated",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068313703,0.081914148,0.061656735,0.075821216,0,0.072967856,0,0.318954003,0.072967856,0,0.074753117,0,0,0.158230362,0.084278595,0,0.230373319,0.06957264,0,0,0,0,0,0,0,0.12858653,0.337378613,0,0,0,0,0,0,0.1108406,0,0,0,0,0,0,0,0,0.051237682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04694636,0,0,0.268253199,0,0,0.394436394,0.06957264,0,0,0.499693952,0,0,0,0,0.10227596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069883308,0,0,0,0,0,0,0,0,0,0.531791998,0,0,0,0.668692742,0,0,0,0,0,0,0,0,0,0,0
Alzheimer Disease,0,0,0,0,0,0,0,0,0,1,0,0.056650331,0,0,0.442855619,0,0,0,0,0.103115755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090264544,0.24047297,0,0,0,0,0,0,0,0,0,0,0,0.1949451,0.231961204,0.179099815,0,0,0.17377844,0,0,0.17377844,0,0,0,0,0,0,0.044540863,0,0,0,0.111620667,0,0,0,0.136865895,0,0,0,0,0,0,0,0.103115755,0.103115755,0,0.076616926,0.076616926,0.103115755,0.149878366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090246279,0,0,0,0.03757555,0.171057759,0,0,0,0.044819172,0,0,0,0.140052116,0,0,0,0,0,0,0,0,0,0,0,0,0.14041196,0,0.343783882,0,0,0,0,0,0,0,0,0,0,0,0,0.28795064,0.06571003,0,0,0,0.099613953,0,0,0,0,0,0,0,0,0,0,0.20606299,0,0,0.088505732,0,0,0,0,0.135288019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224054716,0,0,0,0,0.054574028,0,0,0,0,0.188958921,0.386282189,0
